User,Title,Status,URL,Jurisdiction,Jurisdiction ID,Jurisdiction Level,Jurisdiction State,Agency,Agency ID,Followup Date,Estimated Completion Date,Requested Documents,Tracking Number,Embargo,Days since submitted,Days since updated,Projects,Tags,Price,Date Submitted,Date Due,Date Done,Slug
Guinope727,Any Investigation,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/any-investigation-13882/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,Any personal records ,1305875-000,False,2431,2280,,,0.00,2014-10-20 04:00:00+00:00,,,any-investigation-13882
WuTang1997,Arthur Doe photos,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/arthur-doe-photos-1431/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,,,False,3272,3264,,,0.00,2012-07-01 04:00:00+00:00,,2012-07-09 00:00:00+00:00,arthur-doe-photos-1431
aete2the,BadAccel,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/badaccel-19510/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Use of Sudden unintended acceleration (SUA) or Unintended acceleration in the commission of a crime, including premeditated offenses of any kind. Please include suspicion of Sudden unintended acceleration (SUA) or suspicion of Unintended acceleration within the scope of this request, even if alternate cause determined. This search is to include any and all records, including cross-references and indirect mentions, including records outside the investigation main file. This is to include a search of each of the following record stores and interfaces: the Central Records System (CRS), the Automated Case Support system (""ACS"") Investigative Case Management system (""ICM""), the Automated Case Support system (""ACS"") Electronic Case File (""ECF""), and the Automated Case Support system (""ACS"") Universal Index (""UNI""). Please include processing notes, even if request is denied in part. Please identify individuals responsible for any aspect of FOIA processing in the processing notes, along with explanation of their involvement if not typically assigned FOIA responsibilities for the record systems above.",NFP-48050 ,False,2170,2072,,,0.00,2015-07-08 04:00:00+00:00,,,badaccel-19510
Caitlin,Bela,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/bela-34036/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,Any files regarding Bela anf/or Martha  Karolyi,,False,1572,1105,,,0.00,2017-02-25 05:00:00+00:00,2017-03-24,,bela-34036
EmmaBest,Bezmenov,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/bezmenov-33306/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to Yuri Alexandrovich Bezmenov (Russian: Юрий Александрович Безменов, also known as Tomas David Schuman; 1939 – 1993) was a journalist for RIA Novosti and a former PGU KGB informant from the Soviet Union who defected to Canada. Proof of death is not required as his death has been widely and extensively reported by the media and is known to the FBI. 

Please conduct a search of the Central Records System, including but not limited to the ELSUR Records System, the Microphone Surveillance (MISUR) Indices, the Physical Surveillance (FISUR) Indices, and the Technical Surveillance (TESUR) Indices, for both main-file records and cross-reference records for all relevant names, individuals, agencies and companies. If any potentially responsive records have been destroyed and/or transferred to NARA, then I request copies of the destruction or transfer slips as well as any other documentation relating to, mentioning or describing said transfer or destruction, to include but not be limited to confirmation that the Bureau has no other copies of said records (as the Bureau has posted copies of records that it previously said were transferred to NARA such as the Tokyo Rose file).

I am a member of the news media and request classification as such. I have previously written about the government and its activities for AND Magazine, MuckRock and Glomar Disclosure and have an open arrangement with each. My articles have been widely read, with some reaching over 100,000 readers. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through the non-profit Internet Archive, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance. Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross-section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media. Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category. As such, my primary purpose is to inform about government activities by reporting on it and making the raw data available and I therefore request that fees be waived. Per DOJ FOIA guidance, ""a requester should be granted a fee waiver if the requested information (1) sheds light on the activities and operations of the government; (2) is likely to contribute significantly to public understanding of those operations and activities; and (3) is not primarily in the commercial interest of the requester."" As this FOIA meets all of those requirements (see above), a fee waiver is warranted.",1367577-000,False,1583,1562,Defiant Defectors and Rebellious Refugees,,0.00,2017-02-14 05:00:00+00:00,,,bezmenov-33306
morisy,Booz Allen Hamilton Contracts (Federal Bureau of Investigation),Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/booz-allen-hamilton-contracts-3316/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2013-12-19,,"Copies of contracts with Booz Allen Hamilton over the past 5 years.
Any final reports generated and delivered by Booz Allen Hamilton to the agency over the past 5 years",1210362-000,False,3018,2766,,,267400.00,2013-03-12 04:00:00+00:00,2013-09-20,,booz-allen-hamilton-contracts-3316
lknight7676,Bryan Johnson FBI,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/bryan-johnson-fbi-22612/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any and all records pertaining to Bryan Johnson, 24 of Millis, Massachusetts.  Johnson was an ex-police officer who falsified a bomb threat and drive-by shooting report.  His death has been widely reported in the Boston Globe (https://www.bostonglobe.com/metro/2015/11/26/former-millis-officer-accused-fake-bomb-threat-and-shootout-found-dead-home/6W0lOaNS957JrCNNZtQa9L/story.html), Boston Herald (http://www.bostonherald.com/news/local_coverage/2015/11/da_ex_millis_cop_accused_of_faking_shootout_found_dead_in_home), and New York Daily News (http://www.nydailynews.com/news/national/mass-indicted-lying-shootout-found-dead-article-1.2447857) according to a spokesperson for the Norfolk County District Attorney's Office.  Any records relating to events taking place in Millis from the month of September are also requested.",1340698-000,False,2025,1995,,,0.00,2015-11-30 05:00:00+00:00,,,bryan-johnson-fbi-22612
ltboogie,Carlton Douglas Ridenhour (Chuck D),Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/carlton-douglas-ridenhour-chuck-d-12378/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"All documents relating to Carlton Douglas Ridenhour aka Chuck D, of the hip hop group ""Public Enemy"".",,False,2544,2536,,"hip hop,music,public enemy",0.00,2014-06-29 04:00:00+00:00,,,carlton-douglas-ridenhour-chuck-d-12378
OccupyMARINES,Carol Osorio FBI,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/carol-osorio-fbi-2101/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,,,False,3152,3142,,,0.00,2012-10-29 04:00:00+00:00,,,carol-osorio-fbi-2101
brendanoconnor,Charles Carter – FBI file,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/charles-carter-fbi-file-23963/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"All documents, correspondence, and/or materials pertaining to the Federal Bureau of Investigation’s investigation or examination into the late Charles Carter, of Grayson County, Texas, who was shot and killed by Vincent Smith in January 2016, as reported by a variety of news outlets, both local [http://heralddemocrat.com/news/local/pottsboro-shooting-still-under-investigation] and national [http://gawker.com/texas-patriot-movement-member-killed-as-militia-drama-t-1753359950].",1345031-000,False,1948,1821,,,0.00,2016-02-15 05:00:00+00:00,,,charles-carter-fbi-file-23963
vgolden,Charles Cunningham (Federal Bureau of Investigation),Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/charles-cunningham-federal-bureau-of-investigation-38395/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2019-06-26,,"All records on, about, mentioning or concerning Charles Collingwood (June 4, 1917 – October 3, 1985), CBS journalist and correspondent during World War Two.",1379212-000,False,1475,751,,,0.00,2017-06-02 04:00:00+00:00,2017-06-30,,charles-cunningham-federal-bureau-of-investigation-38395
GrEp,"Charles George ""Chalk"" Mikulanec",Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/charles-george-chalk-mikulanec-39489/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"I am requesting FBI files on Charles George ""Chalk"" Mikulanec (1917-1987). ""Chalk"" held companies in Indianola, Iowa such as ""Central Construction Company"" and ""Central Paving Company"".  Des Moines mob boss Lew Farrell's FBI file noted Central Construction Company was suspected in racketeering activity.",1379155-000,False,1444,1391,,,0.00,2017-07-03 04:00:00+00:00,,2017-07-20 00:00:00+00:00,charles-george-chalk-mikulanec-39489
beryllipton,"Chester ""Chet"" Lytle, Sr. (FBI)",Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/chester-chet-lytle-sr-fbi-13120/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any files, documents, reports mentioning or about former Atomic Energy Commission employee Chester ""Chet"" Lytle, Sr. ",,False,2491,2484,,,0.00,2014-08-21 04:00:00+00:00,,,chester-chet-lytle-sr-fbi-13120
aaronsw,Christopher Soghoian (FBI),Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/christopher-soghoian-fbi-490/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,,,False,3739,3736,,,0.00,2011-03-22 04:00:00+00:00,2011-04-19,,christopher-soghoian-fbi-490
JPatBrown,Citizens' Commission to Investigate the FBI,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/citizens-commission-to-investigate-the-fbi-25619/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Files related to the group ""Citizens' Commission to Investigate the FBI"" and the investigation into their 1971 burglary of the FBI field office in Media, Pennsylvania. 

I am journalist who writes extensively about FBI files - https://www.muckrock.com/project/subjects-matter-fbi-files-10/, which have received national and international attention - http://www.dailymail.co.uk/news/article-3219376/Undercover-FBI-agents-spy-annual-Burning-Man-festival-light-ongoing-war-terrorism-use-test-new-intelligence-collection-technology.html",1350448-000,False,1864,1848,,,1420.00,2016-05-09 04:00:00+00:00,,,citizens-commission-to-investigate-the-fbi-25619
DollyKayGuenthner,"City of Elizabethtown, KY and Hardin Co. KY Govt records of purchases from FBI in last 10 years (Federal Bureau of Investigation)",Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/city-of-elizabethtown-ky-and-hardin-co-ky-govt-records-of-purchases-from-fbi-in-last-10-years-federal-bureau-of-investigation-108886/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"1. Any and all records pertaining to City of Elizabethtown, KY Municipality regarding purchases they have made from your government agency in the last 10 years.

1. Any and all records pertaining to Hardin County, KY government regarding purchases they have made from your government agency in the last 10 years.",,False,111,111,,"city of elizabethtown ky municipality,, fbi,hardin county ky government",0.00,2021-02-25 15:11:21.129095+00:00,2021-03-25,,city-of-elizabethtown-ky-and-hardin-co-ky-govt-records-of-purchases-from-fbi-in-last-10-years-federal-bureau-of-investigation-108886
foiathedead,"Clancy Sigal, FBI file",Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/clancy-sigal-fbi-file-40465/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Clancy Sigal, an obituary of whom was published in The New York Times on July 22, 2017 under the headline ""Clancy Sigal, Novelist Whose Life Was a Tale in Itself, Dies at 90"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2017/07/21/books/clancy-sigal-dead-author-of-going-away.html.",1381165-000,False,1422,1357,,,0.00,2017-07-25 04:00:00+00:00,,,clancy-sigal-fbi-file-40465
SteveKobak,Cleveland Thompson,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/cleveland-thompson-1104/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,,,False,3409,3402,,,0.00,2012-02-15 05:00:00+00:00,,,cleveland-thompson-1104
EmmaBest,Comms re OGIS Case No. 18-00839 and FBI FOIPA No. 1367327 (Federal Bureau of Investigation),Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/comms-re-ogis-case-no-18-00839-and-fbi-foipa-no-1367327-federal-bureau-of-investigation-48660/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Communications (both inter-agency communications and intra-agency communications), notes, and other materials regarding OGIS Case No. 18-00839 and FBI FOIPA No. 1367327. OGIS Case No. 18-00839 was submitted on December 11, 2017 and a final response (dated February 8, 2018) was sent on February 12, 2018.",DOJ-AP-2020-001417,False,1220,57,,,0.00,2018-02-12 05:00:00+00:00,,2021-04-20 12:36:07.731352+00:00,comms-re-ogis-case-no-18-00839-and-fbi-foipa-no-1367327-federal-bureau-of-investigation-48660
vgolden,Communications Between the FBI and Cornell University,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/communications-between-the-fbi-and-cornell-university-38578/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any communications between the Federal Bureau of Investigation and Cornell University or entities representing Cornell University between the dates January 1, 2014 and present.",NFP-74321,False,1469,1462,,,0.00,2017-06-08 04:00:00+00:00,,,communications-between-the-fbi-and-cornell-university-38578
runa,Communications between the FBI and Hacking Team,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/communications-between-the-fbi-and-hacking-team-19498/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,Communications between the FBI and Hacking Team,1332464-000,False,2171,2102,,,0.00,2015-07-07 04:00:00+00:00,,,communications-between-the-fbi-and-hacking-team-19498
jeffelder,Correspondence between Facebook and the FBI,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/correspondence-between-facebook-and-the-fbi-18014/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,Seeking correspondence between Facebook and the FBI from 2010 to current. ,NFP-46851,False,2221,2196,,,0.00,2015-05-18 04:00:00+00:00,,,correspondence-between-facebook-and-the-fbi-18014
SharonEatonHinton,Criminal files and court transcripts of Carnell Eaton,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/criminal-files-and-court-transcripts-of-carnell-eaton-22341/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"To Whom It May Concern:

Pursuant to the state Freedom of Information Act, G.L.M. c.66, §10, I hereby request the following records:

Any and all public records regarding the incarceration of Carnell Eaton.

I also request that, if appropriate, fees be waived as we believe this request is in the public interest, as suggested but not stipulated by the recommendations of the Massachusetts Supervisor of Public Records. The requested documents will be made available to the general public free of charge as part of the public information service at MuckRock.com, processed by a representative of the news media/press and is made in the process of news gathering and not for commercial usage.

In the event that fees cannot be waived, I would be grateful if you would inform me of the total charges in advance of fulfilling my request. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not.

Thank you in advance for your anticipated cooperation in this matter. I look forward to receiving your response to this request within 10 business days, as the statute requires.

Sincerely,

Sharon Eaton Hinton",1339994-000,False,2044,2024,,,0.00,2015-11-11 05:00:00+00:00,,,criminal-files-and-court-transcripts-of-carnell-eaton-22341
lasser.allan,CryptoWall complaints,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/cryptowall-complaints-22313/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"The 992 CryptoWall-related complaints received by the FBI's Internet Crime Complaint Center (IC3) between April 2014 and June 2015.

A FBI Public Service Announcement, published June 23, 2015 and available online at http://www.ic3.gov/media/2015/150623.aspx, states ""between April 2014 and June 2015, the IC3 received 992 CryptoWall-related complaints, with victims reporting losses totaling over $18 million.""",1340312-000,False,2045,1930,,"cybercrime,cybersecurity",115.00,2015-11-10 05:00:00+00:00,,,cryptowall-complaints-22313
brethauff,Dad's FBI File,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/dads-fbi-file-23302/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,Federal Bureau of Investigation file on Thomas Robert Hauff.,1343391-000,False,1989,1953,,,0.00,2016-01-05 05:00:00+00:00,,,dads-fbi-file-23302
TransparentByDefault,Daniel Rudolph Sawing His Own Arm Off Video Tape [FBI],Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/daniel-rudolph-sawing-his-own-arm-off-video-tape-fbi-2012/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,,,False,3165,3135,,,0.00,2012-10-16 04:00:00+00:00,,,daniel-rudolph-sawing-his-own-arm-off-video-tape-fbi-2012
fortdodge15,Dear Coordinator,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/dear-coordinator-14445/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"From John Kirsch on Dec. 2, 2014:

To Whom It May Concern:

This is a request under the Freedom of Information Act. I hereby request the following records:

I request information and records of contacts between the CIA and three living individuals: Douglas Horne, who served in the U.S. Navy and on the Assassination Archives Review Board; David S. Lifton, author of ""Best Evidence,"" a 1981 best-seller about the Kennedy assassination; Oliver D. Curme, a Boston-area businessman and the founder of the Mary Ferrell Foundation. (Curme's Social Security number is 077-46-6751.)
I am the author of a blog, www.jfkresearch.me devoted to researching people and organizations that research the Kennedy assassination.

I also request that, if appropriate, fees be waived as I believe this request is in the public interest. The requested documents will be made available to the general public free of charge as part of the public information service at MuckRock.com, processed by a representative of the news media/press and is made in the process of news gathering and not for commercial usage.

In the event that fees cannot be waived, I would be grateful if you would inform me of the total charges in advance of fulfilling my request. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not.

Thank you in advance for your anticipated cooperation in this matter. I look forward to receiving your response to this request within 20 business days, as the statute requires.

Sincerely,

John Kirsch",1317620-000,False,2376,2367,,,0.00,2014-12-14 05:00:00+00:00,,,dear-coordinator-14445
aete2the,DeepBlackDeathSwanCyberDelium,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/deepblackdeathswancyberdelium-27457/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Please conduct a full-text case-insensitive Sentinel search for the following pairs of terms, which represent a specific class of exaggerated threat, relevant to public interest in national critical infrastructure security:
""black swan"" AND ""hacker""
""lone wolf"" AND ""hacker""
""pearl harbor"" AND ""hacker""
""critical infrastructure"" AND ""hacker""
""scale free"" AND ""hacker""
""high-order chaotic"" AND ""hacker""
""graph theory"" AND ""hacker""
""sustained destruction"" AND ""hacker""
""decentralized autonomous"" AND ""hacker""
""existential threat"" AND ""hacker""
""state of emergency"" AND ""hacker""
(""high tech insurgent"") OR (""HTI"" AND ""hacker"")
""cyber terrorist"" AND ""hacker""

Please provide a count of materials withheld for any reason and a rationale for withholding them. Thank you!",85162,False,1779,1770,,,0.00,2016-08-02 04:00:00+00:00,,,deepblackdeathswancyberdelium-27457
aete2the,DegradeDowngradeDualfade,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/degradedowngradedualfade-23084/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Requests, orders, configuration requirements, technical manuals and any other responsive materials regarding ""lawful intercept"" of cellular communications, specifically LTE, CDMA, or GSM communications, requesting specific service levels during intercept, including ""baud rate match"" terminology, ""channel rate match"", ""CBR-channel"", ""Fixed-bandwidth channel"", and ""Constant rate channel"" terms indicating override of default network operator capacity provisioning during content collection. Specific requested rates or channel capacities include ""0.5G"", ""1/2G"", ""half-G"", ""1.5G"", ""GPRS"", ""1xRTT"", or ""SMS-Only"" service capacities. Records requested under any authority in scope of this request - focus is on technology rather than statutory authorization enabling collection.",1342366-000,False,1997,1920,,,0.00,2015-12-28 05:00:00+00:00,,,degradedowngradedualfade-23084
WorkingPerson,Desiree Salomone,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/desiree-salomone-32857/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"I would like to request a copy of any FBI files on citizen, Desiree Salomone, i.e., my self.",1367017-000,False,1594,1576,,,0.00,2017-02-03 05:00:00+00:00,,,desiree-salomone-32857
aete2the,DeterredAndDisruptedTillDead,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/deterredanddisruptedtilldead-25660/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Count of pre-investigatory activities, or investigation activities prior to indictment, closed due to subject suicide for the years 2010 through 2015 inclusive.",NFP-56200,False,1862,1856,,,0.00,2016-05-11 04:00:00+00:00,,,deterredanddisruptedtilldead-25660
beryllipton,Dick Thornburgh (FBI),Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/dick-thornburgh-fbi-22856/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any and all files, reports, directives, memos, communications, and all other materials referencing, regarding, or involving former Attorney General Dick Thornburgh. Please consult all cross reference and tangential indices and databases in addition to the Central Records System.",1341628-000,False,2013,2004,,,0.00,2015-12-12 05:00:00+00:00,,,dick-thornburgh-fbi-22856
siqilin,Documents on Cyber Attack from China,Withdrawn,https://www.muckrock.com/foi/united-states-of-america-10/documents-on-cyber-attack-from-china-30487/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,All the documents on cyber attacks from China or Chinese hackers.,NFP-63579,False,1654,1650,,,0.00,2016-12-05 05:00:00+00:00,,,documents-on-cyber-attack-from-china-30487
